,Unnamed: 0,temp,humidity,pressure,description,dt,wind_speed,wind_deg,city,day,dist
0,0,23.13,74,1013,very heavy rain,1435387607,1.54,135,Ferrara,2015-06-27 8:46:47,47
1,1,25.02,66,1013,very heavy rain,1435390790,0.51,45,Ferrara,2015-06-27 9:39:50,47
2,2,26.79,58,1013,very heavy rain,1435394201,5.14,158,Ferrara,2015-06-27 10:36:41,47
3,3,28.43,48,1012,very heavy rain,1435398622,1.29,14.5002,Ferrara,2015-06-27 11:50:22,47
4,4,29.44,43,1012,very heavy rain,1435402050,1.54,203,Ferrara,2015-06-27 12:47:30,47
5,5,29.44,39,1011,very heavy rain,1435405690,0.51,203,Ferrara,2015-06-27 13:48:10,47
6,6,29.87,40,1011,very heavy rain,1435409354,1.03,45,Ferrara,2015-06-27 14:49:14,47
7,7,30.33,42,1009,very heavy rain,1435416559,1.54,135,Ferrara,2015-06-27 16:49:19,47
8,8,29.67,47,1009,very heavy rain,1435420160,2.06,90,Ferrara,2015-06-27 17:49:20,47
9,9,27.78,50,1009,very heavy rain,1435423882,1.03,113,Ferrara,2015-06-27 18:51:22,47
10,10,26.67,54,1010,very heavy rain,1435427527,3.08,203,Ferrara,2015-06-27 19:52:07,47
11,11,21.73,75,1012,very heavy rain,1435438045,1.03,23,Ferrara,2015-06-27 22:47:25,47
12,12,20.28,76,1013,very heavy rain,1435441821,1.28,126.515,Ferrara,2015-06-27 23:50:21,47
13,13,20.57,78,1013,very heavy rain,1435445468,1.03,23,Ferrara,2015-06-28 0:51:08,47
14,14,19.91,81,1012,very heavy rain,1435452810,1.03,23,Ferrara,2015-06-28 2:53:30,47
15,15888,19.69,81,1012,very heavy rain,1435456155,1.03,23,Ferrara,2015-06-28 3:49:15,47
16,16,19.14,83,1012,very heavy rain,1435459664,1.69,248.003,Ferrara,2015-06-28 4:47:44,47
17,17,18.81,84,1012,very heavy rain,1435463430,1.69,248.003,Ferrara,2015-06-28 5:50:30,47
18,18,20.01,82,1012,very heavy rain,1435466829,1.56,5.50055,Ferrara,2015-06-28 6:47:09,47
19,19,21.67,76,1012,very heavy rain,1435470506,1.56,5.50055,Ferrara,2015-06-28 7:48:26,47